"id","country_region","rest_name","is_claimed","rating","last_review","address","latitude","longitude","popularity_top","popularity_detailed","n_reviews","travellers_choice","michelin","price_range","cuisines","meal_types","special_diets","features","working_hours","telephone","website","food_rating","service_rating","value_rating","atmosphere_rating","traveller_rating_5","traveller_rating_4","traveller_rating_3","traveller_rating_2","traveller_rating_1","all_languages","id_destination","status","price_category","top_tags","English","non-English","local","type"
"g186470-d6567299",,,,,,,,,,,0,0,0,,,,,"nan","False","False",,,,,,,,,,,"nan",,"redirect",,,0,0,0,
"g186470-d6610386","['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'Belfast', 'Belfast Restaurants', 'Rockies Sports Bar']","Rockies Sports Bar","Claimed",4,"June 29, 2019","Odyssey 2 Queens Quay, Belfast BT3 9QQ Northern Ireland",54.60132,-5.91849,"#309 of 689 Restaurants in Belfast","#309 of 689 Restaurants in Belfast",77,0,0,,"Pub","Lunch, Drinks",,"Seating, Television, Wheelchair Accessible, Serves Alcohol, Full Bar","True","True","http://www.rockiessportsbar.com",40,40,40,,40,15,8,8,6,"English (76), German (1)","g186470-d6610386","in rating","$","Pub",76,1,76,"Restaurants"
"g186470-d6614441","['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'Belfast', 'Belfast Restaurants', 'Tao Noodle Bar']","Tao Noodle Bar","Unclaimed",4,"October 6, 2023","79 Dublin Road, Belfast BT2 7HF Northern Ireland",54.59092,-5.933163,"#356 of 689 Restaurants in Belfast","#356 of 689 Restaurants in Belfast",81,0,0,,"Chinese, Asian","Dinner, Lunch","Vegetarian Friendly","Delivery, Takeout, Table Service, Reservations, Seating","True","True","http://www.taonoodlebarandcafe.co.uk",35,40,35,35,38,19,6,4,14,"Italian (1), Chinese (Sim.) (4), Spanish (3), Dutch (1), English (72), Japanese (1)","g186470-d6614441","in rating","$","Chinese, Asian, Hong Kong",72,10,72,"Restaurants"
"g186470-d6616380","['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'Belfast', 'Belfast Restaurants', 'The teapot belfast']","The teapot belfast","Claimed",4.5,"January 27, 2020","87 Dublin Road, Belfast BT2 7HF Northern Ireland",54.590755,-5.933393,"#155 of 689 Restaurants in Belfast","#155 of 689 Restaurants in Belfast",123,0,0,,"Cafe, British, Healthy","Dinner, Breakfast, Lunch, Brunch, Drinks","Vegetarian Friendly, Vegan Options, Gluten Free Options","Delivery, Takeout, Reservations, Outdoor Seating, Seating, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Highchairs Available, Wheelchair Accessible, Table Service, Accepts Credit Cards","True","True","http://www.theteapotbelfast.co.uk/",45,45,45,40,87,25,4,0,7,"Dutch (1), Russian (2), English (116), Portuguese (1), Spanish (1), German (2)","g186470-d6616380","in rating","$","Cafe, British, Healthy",116,7,116,"Restaurants"
"g186470-d6623509","['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'Belfast', 'Belfast Restaurants', 'Deanes Love Fish']","Deanes Love Fish","Claimed",4,"September 27, 2023","30-36 Howard Street, Belfast BT1 6PF Northern Ireland",54.595768,-5.93266,"#70 of 689 Restaurants in Belfast","#31 of 171 Irish in Belfast",859,1,1,,"Irish, Seafood, European, British","Lunch, Dinner, Late Night, Drinks","Vegetarian Friendly, Gluten Free Options","Reservations, Private Dining, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service","True","True","http://www.michaeldeane.co.uk/love-fish/",45,45,40,40,462,208,101,50,38,"Japanese (2), German (4), Chinese (Sim.) (3), Czech (1), Spanish (3), English (804), Norwegian (1), Russian (1), Dutch (7), Swedish (1), French (14), Portuguese (4), Italian (14)","g186470-d6623509","in rating","$$ - $$$","Irish, Seafood, European",804,55,804,"Restaurants"
"g186470-d6627612","['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'Belfast', 'Belfast Restaurants', 'Stix & Stones Belfast']","Stix & Stones Belfast","Claimed",4.5,"October 14, 2023","44-46 Upper Queen Street, Belfast BT1 6FD Northern Ireland",54.5967,-5.933158,"#59 of 689 Restaurants in Belfast","#59 of 689 Restaurants in Belfast",2107,1,0,"₪36 - ₪111","Steakhouse, Irish, European, British","Lunch, Dinner, Late Night","Vegetarian Friendly, Gluten Free Options","Reservations, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, Live Music","True","True","http://www.stixandstonesbelfast.co.uk",45,45,40,45,"1,298",394,210,120,85,"Italian (22), Japanese (2), Russian (5), Swedish (1), English (2, 022), French (12), Danish (1), Norwegian (1), Polish (1), Finnish (2), German (18), Korean (2), Greek (1), Portuguese (4), Spanish (7), Dutch (6)","g186470-d6627612","in rating","$$ - $$$","Steakhouse, Irish, European",2,85,2,"Restaurants"
"g186470-d6656512","['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'Belfast', 'Belfast Restaurants', 'The Cookery School']","The Cookery School","Unclaimed",5,"September 6, 2020","Shields House 21 James Street South, Belfast BT2 7GA Northern Ireland",54.59546,-5.93247,"#381 of 689 Restaurants in Belfast","#381 of 689 Restaurants in Belfast",10,0,0,,,,,"Reservations","False","True","http://www.jamesstreetsouth.co.uk/Cookery-School",50,50,45,,10,0,0,0,0,"English (10)","g186470-d6656512","in rating","$$ - $$$",,10,0,10,"Restaurants"
"g186470-d6664387","['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'Belfast', 'Belfast Restaurants', 'Cafe Renoir']","Cafe Renoir - CLOSED","Unclaimed",3.5,"March 14, 2017","5-7 Queen Street, Belfast BT1 6EA Northern Ireland",54.59887,-5.93335,,,18,0,0,,,"Breakfast, Lunch, Dinner",,,"False","True",,35,35,35,30,7,3,3,3,2,"English (18)","g186470-d6664387","closed",,,18,0,18,
"g186470-d6700700","['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'Belfast', 'Belfast Restaurants', 'Piccola Parma']","Piccola Parma","Claimed",4.5,"June 5, 2023","377 Woodstock Road, Belfast BT6 8PU Northern Ireland",54.587536,-5.900331,"#226 of 689 Restaurants in Belfast","#21 of 50 Italian in Belfast",36,0,0,"₪14 - ₪48","Italian, Cafe","Dinner, Lunch, Breakfast","Vegetarian Friendly","Takeout, Seating, Wheelchair Accessible, Cash Only, Free Wifi, Reservations, Highchairs Available","True","True","https://www.facebook.com/PiccolaParmaBelfast/",50,50,50,,29,4,3,0,0,"Italian (2), English (34)","g186470-d6700700","in rating","$","Italian, Cafe, Vegetarian Friendly",34,2,34,"Restaurants"
"g186470-d6713958","['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'Belfast', 'Belfast Restaurants', 'Spice Fusion']","Spice Fusion","Unclaimed",4,"August 13, 2022","149 Upper Lisburn Road, Belfast BT10 0LH Northern Ireland",54.56152,-5.98503,"#415 of 689 Restaurants in Belfast","#39 of 150 Fast Food in Belfast",17,0,0,,"Indian, Fast Food, Asian","Dinner","Vegetarian Friendly","Delivery, Takeout, Wheelchair Accessible","True","True","https://www.facebook.com/Spice-Fusion-105351684796804/",,,,,11,1,1,1,3,"English (17)","g186470-d6713958","in rating",,"Indian, Fast Food, Asian, Vegetarian Friendly",17,0,17,"Restaurants"
