"id","country_region","rest_name","is_claimed","rating","last_review","address","latitude","longitude","popularity_top","popularity_detailed","n_reviews","travellers_choice","michelin","price_range","cuisines","meal_types","special_diets","features","working_hours","telephone","website","food_rating","service_rating","value_rating","atmosphere_rating","traveller_rating_5","traveller_rating_4","traveller_rating_3","traveller_rating_2","traveller_rating_1","all_languages","status","id_destination","price_category","top_tags","type","English","non-English","local"
"g189909-d15598854",,,,,,,,,,,0,0,0,,,"nan",,"nan","False","False",,,,,,,,,,,"nan","redirect",,,,,0,0,0
"g189909-d17451107","['Europe', 'Finland', 'Southern Savonia', 'Mikkeli', 'Mikkeli Restaurants', 'Rax PizzaBuffet']","Rax PizzaBuffet","Unclaimed",2.5,"October 21, 2019","Maaherrankatu 18-20, Mikkeli 50100 Finland",61.68887,27.27204,"#55 of 55 Restaurants in Mikkeli","#12 of 12 Pizza in Mikkeli",3,0,0,,"Pizza",,,,"False","True","https://www.rax.fi/ravintolat/mikkeli",,,,,0,0,2,1,0,"English (1), Finnish (2)","in rating","g189909-d17451107","$","Pizza","Restaurants",1,2,2
"g189909-d17478098","['Europe', 'Finland', 'Southern Savonia', 'Mikkeli', 'Mikkeli Restaurants', 'Ella Grill']","Ella Grill","Unclaimed",4,"July 19, 2023","Mikonkatu 1, Mikkeli 50100 Finland",61.686356,27.268465,"#12 of 55 Restaurants in Mikkeli","#3 of 4 Grill in Mikkeli",19,0,0,,"Pizza, Fast Food, Turkish, Grill","Lunch",,,"False","True","http://www.ellagrill.fi/",,,,,8,9,1,0,1,"Russian (4), English (2), Finnish (13)","in rating","g189909-d17478098","$","Pizza, Fast Food, Turkish","Restaurants",2,17,13
"g189909-d17511400","['Europe', 'Finland', 'Southern Savonia', 'Mikkeli', 'Mikkeli Restaurants', 'Ravintola Sali & Keittio']","Ravintola Sali & Keittio","Unclaimed",,,"Lahemaenkatu 11, Mikkeli 50170 Finland",61.697968,27.292484,,,0,0,0,,"European",,,,"False","True","http://www.salikeittio.fi",,,,,0,0,0,0,0,"nan","in rating","g189909-d17511400",,"European",,0,0,0
"g189909-d19126324","['Europe', 'Finland', 'Southern Savonia', 'Mikkeli', 'Mikkeli Restaurants', 'Kahvila Kuutti']","Kahvila Kuutti","Unclaimed",3,"October 13, 2019","Porrassalmenkatu 35-37, Mikkeli 50100 Finland",61.69146,27.27735,"#50 of 55 Restaurants in Mikkeli","#50 of 55 Restaurants in Mikkeli",1,0,0,,,,,,"False","True",,,,,,0,0,1,0,0,"English, Finnish (1)","in rating","g189909-d19126324",,,"Restaurants",0,1,1
"g189909-d19245640","['Europe', 'Finland', 'Southern Savonia', 'Mikkeli', 'Mikkeli Restaurants', 'McDonalds']","McDonalds","Unclaimed",4,"August 29, 2020","Graanintie 2, Mikkeli 50190 Finland",61.68603,27.29891,"#41 of 55 Restaurants in Mikkeli","#41 of 55 Restaurants in Mikkeli",2,0,0,,,"Breakfast, Lunch, Dinner",,,"True","True","http://fi-fi.facebook.com/McDonaldsMikkeliGraani",,,,,1,0,1,0,0,"English, Finnish (2)","in rating","g189909-d19245640",,,"Restaurants",0,2,2
"g189909-d19306660","['Europe', 'Finland', 'Southern Savonia', 'Mikkeli', 'Mikkeli Restaurants', 'Abc Pitkajarvi Mikkeli']","Abc Pitkajarvi Mikkeli","Unclaimed",3.5,"July 16, 2023","Hietakatu 7, Mikkeli 50130 Finland",61.676,27.24133,"#38 of 55 Restaurants in Mikkeli","#9 of 12 Pizza in Mikkeli",7,0,0,,"Steakhouse, Pizza, Fast Food, European, Diner, Scandinavian",,,,"False","True","https://www.abcasemat.fi/fi/asemat/abc-pitkajarvi-mikkeli-697944999",,,,,0,4,3,0,0,"Finnish (5), English (2)","in rating","g189909-d19306660","$","Steakhouse, Pizza, Fast Food","Restaurants",2,5,5
"g189909-d19323274","['Europe', 'Finland', 'Southern Savonia', 'Mikkeli', 'Mikkeli Restaurants', 'Dagens Restaurant Corner']","Dagens Restaurant Corner","Unclaimed",4,"February 27, 2022","Maaherrankatu 22, Mikkeli 50100 Finland",61.68962,27.27222,"#31 of 55 Restaurants in Mikkeli","#31 of 55 Restaurants in Mikkeli",3,0,0,,,,,,"False","True","https://www.dagens.fi/",,,,,1,1,1,0,0,"English (1), Finnish (2)","in rating","g189909-d19323274","$",,"Restaurants",1,2,2
"g189909-d19971731","['Europe', 'Finland', 'Southern Savonia', 'Mikkeli', 'Mikkeli Restaurants', 'Ravintola Tasty']","Ravintola Tasty","Unclaimed",3.5,"April 10, 2023","Maaherrankatu 26, Mikkeli 50100 Finland",61.690453,27.273056,"#45 of 55 Restaurants in Mikkeli","#3 of 3 Asian in Mikkeli",6,0,0,,"Asian",,,,"False","True","https://www.facebook.com/ravintolatasty/",,,,,2,1,1,1,1,"Finnish (4), English (2)","in rating","g189909-d19971731","$","Asian","Restaurants",2,4,4
"g189909-d20041293","['Europe', 'Finland', 'Southern Savonia', 'Mikkeli', 'Mikkeli Restaurants', 'Subway']","Subway","Unclaimed",,,"Porrassalmenkatu 11, Mikkeli 50100 Finland",61.68602,27.273893,,,0,0,0,,,"Breakfast, Lunch, Dinner",,,"True","True","https://restaurants.subway.com/finland/mikkeli/porrassalmenkatu-11?utm_source=yext-other&utm_medium=local&utm_term=acq&utm_content=69653&utm_campaign=evergreen-2020&y_source=1_MTQ5MjUwNTQtNzY5LWxvY2F0aW9uLndlYnNpdGU%3D",,,,,0,0,0,0,0,"nan","in rating","g189909-d20041293",,,,0,0,0
"g189909-d20041476","['Europe', 'Finland', 'Southern Savonia', 'Mikkeli', 'Mikkeli Restaurants', 'Subway']","Subway - CLOSED","Unclaimed",,,"Maaherrankatu 18, Mikkeli 50100 Finland",61.689167,27.271488,,,0,0,0,,,"Lunch, Dinner",,,"False","True","https://restaurants.subway.com/finland/mikkeli/maaherrankatu-18?utm_source=yext-other&utm_medium=local&utm_term=acq&utm_content=46005&utm_campaign=evergreen-2020&y_source=1_MTQ5MjU1MTctNzY5LWxvY2F0aW9uLndlYnNpdGU%3D",,,,,0,0,0,0,0,"nan","closed","g189909-d20041476",,,,0,0,0
"g189909-d20043106","['Europe', 'Finland', 'Southern Savonia', 'Mikkeli', 'Mikkeli Restaurants', 'Ravintola Palermo']","Ravintola Palermo","Unclaimed",3,"February 13, 2020","Raviradantie 1, Mikkeli 50100 Finland",61.69254,27.25488,"#50 of 55 Restaurants in Mikkeli","#50 of 55 Restaurants in Mikkeli",1,0,0,,,"Lunch, Dinner",,,"True","True",,,,,,0,0,1,0,0,"English, Finnish (1)","in rating","g189909-d20043106",,,"Restaurants",0,1,1
"g189909-d20064605",,,,,,,,,,,0,0,0,,,"nan",,"nan","False","False",,,,,,,,,,,"nan","redirect",,,,,0,0,0
"g189909-d20090787","['Europe', 'Finland', 'Southern Savonia', 'Mikkeli', 'Mikkeli Restaurants', 'Ramin Konditoria']","Ramin Konditoria","Unclaimed",4,"July 17, 2023","Mikonkatu 8, Mikkeli 50100 Finland",61.689564,27.27,"#28 of 55 Restaurants in Mikkeli","#12 of 17 European in Mikkeli",4,0,0,"₪9 - ₪85","European, Central European",,,,"False","True","http://www.raminkonditoria.fi/",,,,,2,1,0,1,0,"English (3), Finnish (1)","in rating","g189909-d20090787","$$ - $$$","European, Central European","Restaurants",3,1,1
"g189909-d20090791","['Europe', 'Finland', 'Southern Savonia', 'Mikkeli', 'Mikkeli Restaurants', 'Ramin Konditoria']","Ramin Konditoria","Unclaimed",,,"Sammonkatu 12, Mikkeli 50130 Finland",61.68186,27.254608,,,0,0,0,,,,,,"False","True","http://raminkonditoria.fi",,,,,0,0,0,0,0,"nan","in rating","g189909-d20090791","$$ - $$$","European, Central European",,0,0,0
"g189909-d21120145","['Europe', 'Finland', 'Southern Savonia', 'Mikkeli', 'Mikkeli Restaurants', 'Vohvelikahvila Helle']","Vohvelikahvila Helle","Claimed",5,"July 15, 2020","Hallituskatu 3, Mikkeli 50100 Finland",,,"#3 of 3 Desserts in Mikkeli","#3 of 3 Dessert in Mikkeli",1,0,0,,"Cafe",,,"Outdoor Seating, Seating, Wheelchair Accessible, Dog Friendly, Gift Cards Available","False","False","https://www.facebook.com/kahvilahelle/",,,,,1,0,0,0,0,"English, Finnish (1)","in rating","g189909-d21120145",,"Dessert, Cafe","Desserts",0,1,1
"g189909-d21171808","['Europe', 'Finland', 'Southern Savonia', 'Mikkeli', 'Mikkeli Restaurants', 'Kirjalan Kahvipaahtimo']","Kirjalan Kahvipaahtimo","Unclaimed",5,"July 20, 2023","Nuijamiestenkatu 21, Mikkeli Finland",61.68459,27.259066,"#2 of 3 Desserts in Mikkeli","#2 of 3 Dessert in Mikkeli",3,0,0,,,,,,"False","True","https://www.facebook.com/kirjalankahvipaahtimo/",,,,,3,0,0,0,0,"English, Finnish (3)","in rating","g189909-d21171808",,"Dessert","Desserts",0,3,3
